Item Names,ID,Type,Exclusive To,Cost,Effect
Outfit 2,00_1_0001_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 2,00_1_0001_0032_10,Costume,Great Saiyaman,,
Outfit 2,00_1_0001_0040_00,Costume,Piccolo,,
Outfit 2,00_1_0001_0040_10,Costume,Piccolo (Fused with Kami),,
Outfit 2,00_1_0001_0050_00,Costume,Krillin,,
Outfit 2,00_1_0001_0060_00,Costume,Yamcha,,
Outfit 2,00_1_0001_0070_00,Costume,Tien,,
Outfit 2,00_1_0001_0080_30,Costume,Future Trunks,,
Outfit 2,00_1_0001_0080_31,Costume,Future Trunks Super Saiyan,,
Outfit 2,00_1_0001_0140_00,Costume,Master Roshi,,
Outfit 2,00_1_0001_0141_00,Costume,Master Roshi Full Power,,
Outfit 2,00_1_0001_0310_00,Costume,Bardock,,
Outfit 2,00_1_0001_0340_00,Costume,Nappa,,
Outfit 2,00_1_0001_0390_00,Costume,Recoome,,
Outfit 2,00_1_0001_0450_10,Costume,Android 17 (Super),,
Outfit 2,00_1_0001_0460_00,Costume,Android 18,,
Outfit 2,00_1_0001_0540_00,Costume,Frieza Force Soldier,,
For Events??,00_1_0001_0790_00,Costume,Whis,,
Outfit 1,00_1_0001_0810_01,Costume,Fused Zamasu,,
Outfit 1,00_1_0001_0811_00,Costume,Fused Zamasu Half-Corrupted,,
Outfit 2,00_1_0001_0931_00,Costume,Jiren Full Power,,
Outfit 2,00_1_0001_0940_00,Costume,Toppo,,
Outfit 3,00_1_0002_0000_00,Costume,Goku (Z - Early),,
Outfit 3,00_1_0002_0000_10,Costume,Goku (Z - Mid),,
Outfit 3,00_1_0002_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 3,00_1_0002_0000_20,Costume,Goku (Z - End),,
Outfit 3,00_1_0002_0000_21,Costume,Goku (Z - End) Super Saiyan,,
Outfit 3,00_1_0002_0000_22,Costume,Goku (Z - End) Super Saiyan 2,,
Outfit 3,00_1_0002_0000_23,Costume,Goku (Z - End) Super Saiyan 3,,
Outfit 3,00_1_0002_0000_40,Costume,Goku (Super),,
Outfit 3,00_1_0002_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 3,00_1_0002_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 3,00_1_0002_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 3,00_1_0002_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 3,00_1_0002_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 3,00_1_0002_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 3,00_1_0002_0020_10,Costume,Vegeta (Z - Early),,
Outfit 3,00_1_0002_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 3,00_1_0002_0020_30,Costume,Vegeta (Z - End),,
Outfit 3,00_1_0002_0020_31,Costume,Vegeta (Z - End) Super Saiyan,,
Outfit 3,00_1_0002_0020_32,Costume,Vegeta (Z - End) Super Saiyan 2,,
Outfit 3,00_1_0002_0020_60,Costume,Vegeta (Super),,
Outfit 3,00_1_0002_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 3,00_1_0002_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 3,00_1_0002_0021_20,Costume,Super Vegeta,,
Outfit 3,00_1_0002_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 3,00_1_0002_0023_00,Costume,Great Ape Vegeta,,
Outfit 3,00_1_0002_0030_00,Costume,Gohan (Kid),,
Outfit 3,00_1_0002_0031_00,Costume,Gohan (Teen),,
Outfit 3,00_1_0002_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 3,00_1_0002_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 3,00_1_0002_0032_00,Costume,Gohan (Adult),,
Outfit 3,00_1_0002_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 3,00_1_0002_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 2,00_1_0002_0032_20,Costume,Ultimate Gohan,,
Outfit 3,00_1_0002_0040_00,Costume,Piccolo,,
Outfit 3,00_1_0002_0040_10,Costume,Piccolo (Fused with Kami),,
Outfit 3,00_1_0002_0050_00,Costume,Krillin,,
Outfit 3,00_1_0002_0060_00,Costume,Yamcha,,
Outfit 3,00_1_0002_0070_00,Costume,Tien,,
Outfit 2,00_1_0002_0080_00,Costume,Trunks (Sword),,
Outfit 2,00_1_0002_0080_01,Costume,Trunks (Sword) Super Saiyan,,
Outfit 3,00_1_0002_0080_10,Costume,Trunks (Melee),,
Outfit 3,00_1_0002_0080_11,Costume,Trunks (Melee) Super Saiyan,,
Outfit 2,00_1_0002_0130_00,Costume,Videl,,
Outfit 3,00_1_0002_0460_00,Costume,Android 18,,
Outfit 4,00_1_0003_0000_10,Costume,Goku (Z - Mid),,
Outfit 4,00_1_0003_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 4,00_1_0003_0000_40,Costume,Goku (Super),,
Outfit 4,00_1_0003_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 4,00_1_0003_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0003_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 4,00_1_0003_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 4,00_1_0003_0020_10,Costume,Vegeta (Z - Early),,
Outfit 4,00_1_0003_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 4,00_1_0003_0020_60,Costume,Vegeta (Super),,
Outfit 4,00_1_0003_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 4,00_1_0003_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0003_0021_20,Costume,Super Vegeta,,
Outfit 4,00_1_0003_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 4,00_1_0003_0023_00,Costume,Great Ape Vegeta,,
Outfit 4,00_1_0003_0031_00,Costume,Gohan (Teen),,
Outfit 4,00_1_0003_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 4,00_1_0003_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 4,00_1_0003_0032_00,Costume,Gohan (Adult),,
Outfit 4,00_1_0003_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 4,00_1_0003_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 3,00_1_0003_0140_00,Costume,Master Roshi,,
Outfit 3,00_1_0003_0141_00,Costume,Master Roshi Full Power,,
Outfit 4,00_1_0003_0460_00,Costume,Android 18,,
Outfit 4,00_1_0004_0000_00,Costume,Goku (Z - Early),,
Outfit 5,00_1_0004_0000_40,Costume,Goku (Super),,
Outfit 5,00_1_0004_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 5,00_1_0004_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 4,00_1_0004_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 4,00_1_0004_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 5,00_1_0004_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 5,00_1_0004_0020_10,Costume,Vegeta (Z - Early),,
Outfit 5,00_1_0004_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 5,00_1_0004_0032_00,Costume,Gohan (Adult),,
Outfit 5,00_1_0004_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 5,00_1_0004_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 4,00_1_0004_0050_00,Costume,Krillin,,
Outfit 4,00_1_0004_0070_00,Costume,Tien,,
Outfit 4,00_1_0004_0140_00,Costume,Master Roshi,,
Outfit 4,00_1_0004_0141_00,Costume,Master Roshi Full Power,,
Outfit 5,00_1_0004_0460_00,Costume,Android 18,,
Outfit 5,00_1_0005_0000_00,Costume,Goku (Z - Early),,
Outfit 5,00_1_0005_0000_10,Costume,Goku (Z - Mid),,
Outfit 5,00_1_0005_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 6,00_1_0005_0000_40,Costume,Goku (Super),,
Outfit 6,00_1_0005_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 6,00_1_0005_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 5,00_1_0005_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 5,00_1_0005_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 6,00_1_0005_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 6,00_1_0005_0020_10,Costume,Vegeta (Z - Early),,
Outfit 6,00_1_0005_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 7,00_1_0006_0000_40,Costume,Goku (Super),,
Outfit 7,00_1_0006_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 7,00_1_0006_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 6,00_1_0006_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 6,00_1_0006_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 7,00_1_0006_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 8,00_1_0007_0000_40,Costume,Goku (Super),,
Outfit 8,00_1_0007_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 8,00_1_0007_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 8,00_1_0007_0001_42,Costume,Goku (Super) Super Saiyan God,,
Impartial Justice,00_6_0000,Sparking BGM,,,
Dreadful Villain,00_6_0001,Sparking BGM,,,
Morally Gray,00_6_0202,Sparking BGM,,,
Divine Judgment,00_6_0203,Sparking BGM,,,
Effortless Delights,00_6_0204,Sparking BGM,,,
Malicious Intent,00_6_0205,Sparking BGM,,,
Ultimate Survivor,00_6_0206,Sparking BGM,,,
Absolute Domination,00_6_0207,Sparking BGM,,,
Swirling Chaos,00_6_0208,Sparking BGM,,,
Fighting Spirit,00_6_1000,Sparking BGM,,,
Ultra Instinct,00_6_1001,Sparking BGM,,,
Let's Rock!,00_6_1002,Sparking BGM,,,
Ultimate Fusion,00_6_1003,Sparking BGM,,,
Ego above All,00_6_1004,Sparking BGM,,,
Evolution,00_6_1005,Sparking BGM,,,
Super Earthling,00_6_1006,Sparking BGM,,,
Hidden Potential,00_6_1007,Sparking BGM,,,
Awakened Child,00_6_1008,Sparking BGM,,,
Next-Gen Hero,00_6_1009,Sparking BGM,,,
Hidden Power Unleashed,00_6_1010,Sparking BGM,,,
Beyond Good and Evil,00_6_1011,Sparking BGM,,,
Hope for the Future,00_6_1012,Sparking BGM,,,
Lone Wolf,00_6_1013,Sparking BGM,,,
Monk-in-Training,00_6_1014,Sparking BGM,,,
Master,00_6_1015,Sparking BGM,,,
Reign of Terror,00_6_1016,Sparking BGM,,,
Ruler of Fear,00_6_1017,Sparking BGM,,,
The Most Malevolent Ever,00_6_1018,Sparking BGM,,,
Ultimate Cells,00_6_1019,Sparking BGM,,,
Ceaseless Terror,00_6_1020,Sparking BGM,,,
Innocent Assault,00_6_1021,Sparking BGM,,,
Divine Grudge,00_6_1022,Sparking BGM,,,
Black Roses,00_6_1023,Sparking BGM,,,
The Immortal Divine,00_6_1024,Sparking BGM,,,
Strength Is Justice,00_6_1025,Sparking BGM,,,
Nothing to Lose,00_6_1026,Sparking BGM,,,
Super Saiyan,00_6_1027,Sparking BGM,,,
True Form,00_6_1028,Sparking BGM,,,
Great Ape,00_6_1029,Sparking BGM,,,
Within the Light,00_6_1030,Sparking BGM,,,
Evil United,00_6_1031,Sparking BGM,,,
Pride Troopers,00_6_1032,Sparking BGM,,,
God of Destruction,00_6_1033,Sparking BGM,,,
Hero of Justice,00_6_1034,Sparking BGM,,,
Malice,00_6_1035,Sparking BGM,,,
Strangely Innocent,00_6_1036,Sparking BGM,,,
Strangely Evil,00_6_1037,Sparking BGM,,,
Slapstick Heroes,00_6_1038,Sparking BGM,,,
Berserker,00_6_1039,Sparking BGM,,,
Realm of the Gods,00_6_1040,Sparking BGM,,,
Valkyrie,00_6_1041,Sparking BGM,,,
The Power of Love,00_6_1042,Sparking BGM,,,
Cruel Galaxy,00_6_1043,Sparking BGM,,,
Legendary Warrior,00_6_1044,Sparking BGM,,,
Genkai Toppa X Survivor,00_6_1100,Sparking BGM,,,
CHA-LA HEAD-CHA-LA,00_6_2000,Sparking BGM,,,
WE GOTTA POWER,00_6_2001,Sparking BGM,,,
KYOUFUNO GINYUU TOKUSENTAI,00_6_2002,Sparking BGM,,,
SHIO YOBU CELL GAME,00_6_2003,Sparking BGM,,,
AKUMA NO BROLY,00_6_2004,Sparking BGM,,,
Day of Destiny -Soul vs Soul-,00_6_2005,Sparking BGM,,,
SEIGIO AISURU MONO,00_6_2006,Sparking BGM,,,
Cho-Zets☆Dynamic!,00_6_2007,Sparking BGM,,,
Champa's Theme,00_6_2008,Sparking BGM,,,
Kyuukyokuno Battle(Instrumental),00_6_2009,Sparking BGM,,,
Hand-To-Hand Battle,00_6_2010,Sparking BGM,,,
MAKAFUSHIGI ADVENTURE!,00_6_2011,Sparking BGM,,,
Orewa Kakarot,00_6_2012,Sparking BGM,,,
Broly Sentoukaishi,00_6_2013,Sparking BGM,,,
SAIKYOU NO FUSION,00_6_2014,Sparking BGM,,,
Solid State Scouter,00_6_2015,Sparking BGM,,,
DAN DAN KOKORO HIKARETEKU,00_6_2016,Sparking BGM,,,
DRAGON BALL SUPER -BROLY- Theme,00_6_2017,Sparking BGM,,,
Blizzard,00_6_2018,Sparking BGM,,,
PROLOGUE & SUBTITLE 1,00_6_2019,Sparking BGM,,,
PROLOGUE & SUBTITLE 2,00_6_2020,Sparking BGM,,,
CHA-LA HEAD-CHA-LA (Days of Battle),00_6_2021,Sparking BGM,,,
YAPPARI SAIKYO SONGOKU!! (WE GOTTA POWER),00_6_2022,Sparking BGM,,,
